,PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
35,7,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,440.0,520.0,437.0,481.0,581.0,571.0,564.0,700.0,498.0,552.0,426.0,435.0,458.0,564.0,517.0,482.0
36,9,FELONY POSSESSION STOLEN PROPERTY            ,21.0,18.0,15.0,10.0,18.0,8.0,13.0,8.0,7.0,8.0,18.0,16.0,12.0,11.0,16.0,9.0
37,9,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,79.0,88.0,77.0,90.0,151.0,186.0,182.0,171.0,162.0,136.0,129.0,120.0,110.0,110.0,107.0,115.0
38,9,ARSON                                 ,36.0,21.0,11.0,3.0,10.0,10.0,8.0,4.0,6.0,7.0,10.0,12.0,14.0,9.0,17.0,14.0
39,9,FELONY SEX CRIMES (3),12.0,16.0,28.0,17.0,11.0,16.0,11.0,11.0,9.0,12.0,10.0,10.0,9.0,17.0,11.0,11.0
40,9,FELONY DANGEROUS DRUGS  (1),496.0,338.0,342.0,341.0,501.0,422.0,344.0,316.0,206.0,297.0,335.0,279.0,372.0,407.0,357.0,331.0
41,9,FELONY DANGEROUS WEAPONS (2)        ,16.0,30.0,41.0,18.0,34.0,52.0,45.0,69.0,50.0,135.0,62.0,32.0,39.0,41.0,32.0,31.0
42,9,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,168.0,169.0,110.0,88.0,60.0,56.0,79.0,49.0,52.0,68.0,64.0,60.0,58.0,57.0,36.0,22.0
43,9,OTHER FELONIES (4),131.0,116.0,88.0,129.0,129.0,157.0,144.0,126.0,95.0,107.0,87.0,88.0,97.0,98.0,95.0,82.0
44,9,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,959.0,796.0,712.0,696.0,914.0,907.0,826.0,754.0,587.0,770.0,715.0,617.0,711.0,750.0,671.0,615.0
45,10,FELONY POSSESSION STOLEN PROPERTY            ,11.0,17.0,5.0,16.0,22.0,15.0,15.0,17.0,14.0,12.0,8.0,16.0,17.0,21.0,9.0,24.0
46,10,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,35.0,22.0,31.0,64.0,145.0,177.0,156.0,122.0,150.0,108.0,117.0,114.0,125.0,89.0,104.0,98.0
47,10,ARSON                                 ,16.0,11.0,11.0,5.0,7.0,7.0,6.0,5.0,7.0,10.0,9.0,3.0,5.0,11.0,9.0,11.0
48,10,FELONY SEX CRIMES (3),7.0,9.0,7.0,4.0,6.0,6.0,13.0,7.0,6.0,3.0,9.0,5.0,5.0,8.0,12.0,9.0
49,10,FELONY DANGEROUS DRUGS  (1),282.0,270.0,283.0,289.0,343.0,344.0,444.0,352.0,316.0,265.0,166.0,177.0,167.0,199.0,188.0,172.0
50,10,FELONY DANGEROUS WEAPONS (2)        ,11.0,10.0,15.0,7.0,23.0,22.0,55.0,83.0,112.0,85.0,40.0,34.0,21.0,37.0,19.0,19.0
51,10,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,82.0,85.0,82.0,39.0,37.0,63.0,52.0,65.0,64.0,64.0,67.0,42.0,41.0,63.0,43.0,41.0
52,10,OTHER FELONIES (4),55.0,30.0,35.0,70.0,73.0,90.0,57.0,66.0,72.0,63.0,66.0,45.0,60.0,59.0,66.0,56.0
53,10,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,499.0,454.0,469.0,494.0,656.0,724.0,798.0,717.0,741.0,610.0,482.0,436.0,441.0,487.0,450.0,430.0
54,13,FELONY POSSESSION STOLEN PROPERTY            ,17.0,19.0,21.0,23.0,12.0,15.0,8.0,21.0,25.0,28.0,16.0,22.0,15.0,24.0,34.0,16.0
55,13,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,99.0,96.0,101.0,200.0,370.0,393.0,358.0,298.0,271.0,236.0,238.0,220.0,163.0,165.0,128.0,176.0
56,13,ARSON                                 ,27.0,14.0,10.0,4.0,7.0,4.0,6.0,5.0,7.0,7.0,4.0,4.0,7.0,10.0,10.0,7.0
57,13,FELONY SEX CRIMES (3),5.0,8.0,19.0,15.0,10.0,12.0,5.0,6.0,7.0,10.0,16.0,31.0,46.0,35.0,37.0,35.0
58,13,FELONY DANGEROUS DRUGS  (1),235.0,145.0,224.0,128.0,222.0,236.0,210.0,132.0,160.0,160.0,186.0,203.0,259.0,234.0,174.0,146.0
59,13,FELONY DANGEROUS WEAPONS (2)        ,9.0,8.0,10.0,10.0,10.0,21.0,43.0,67.0,83.0,66.0,43.0,32.0,22.0,28.0,33.0,47.0
60,13,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,158.0,159.0,222.0,81.0,83.0,87.0,101.0,78.0,81.0,97.0,78.0,46.0,45.0,48.0,56.0,70.0
61,13,OTHER FELONIES (4),63.0,51.0,60.0,96.0,64.0,68.0,111.0,104.0,58.0,65.0,81.0,72.0,56.0,80.0,60.0,79.0
62,13,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,613.0,500.0,667.0,557.0,778.0,836.0,842.0,711.0,692.0,669.0,662.0,630.0,613.0,624.0,532.0,576.0
63,14,FELONY POSSESSION STOLEN PROPERTY            ,71.0,74.0,65.0,27.0,30.0,57.0,68.0,51.0,52.0,31.0,65.0,33.0,28.0,31.0,41.0,22.0
64,14,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,361.0,299.0,210.0,387.0,543.0,644.0,673.0,440.0,329.0,289.0,374.0,275.0,273.0,295.0,331.0,301.0
65,14,ARSON                                 ,11.0,11.0,9.0,4.0,5.0,6.0,3.0,12.0,6.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0
66,14,FELONY SEX CRIMES (3),14.0,14.0,9.0,11.0,12.0,11.0,12.0,7.0,3.0,7.0,30.0,16.0,34.0,23.0,36.0,41.0
67,14,FELONY DANGEROUS DRUGS  (1),740.0,454.0,711.0,440.0,413.0,379.0,334.0,342.0,270.0,195.0,180.0,197.0,271.0,331.0,384.0,394.0
